title,location,division,url
Business Analyst III - Cox Business Enablement,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/14010540/business-analyst-iii-cox-business-enablement-atlanta-ga/
Technical Recruiter,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13998241/technical-recruiter-atlanta-ga/
Senior Technical Recruiter,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13998240/senior-technical-recruiter-atlanta-ga/
Senior Financial Analyst,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13788630/senior-financial-analyst-atlanta-ga/
Senior IT Process Analyst,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13984291/senior-it-process-analyst-atlanta-ga/
IT Process Analyst,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13984290/it-process-analyst-atlanta-ga/
"Senior Accounting Analyst, Family Office","Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13974187/senior-accounting-analyst-family-office-atlanta-ga/
Internal Audit & Advisory Specialist,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13974188/internal-audit-advisory-specialist-atlanta-ga/
Collections Specialist - Cox Media,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13972228/collections-specialist-cox-media-atlanta-ga/
Business Analyst III - Cox Business Enablement,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13895417/business-analyst-iii-cox-business-enablement-atlanta-ga/
"Senior Talent Acquisition Sourcer, Sales","Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13954472/senior-talent-acquisition-sourcer-sales-remote/
Senior HR Generalist,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13638150/senior-hr-generalist-atlanta-ga/
Senior Recruiting Coordinator,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13944898/senior-recruiting-coordinator-remote/
Recruiting Coordinator II,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13944899/recruiting-coordinator-ii-remote/
Senior Recruiting Coordinator,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13944897/senior-recruiting-coordinator-remote/
Senior Financial Analyst,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13806830/senior-financial-analyst-remote/
Senior Accounting Analyst - Enterprise Accounting,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13771377/senior-accounting-analyst-enterprise-accounting-atlanta-ga/
Senior Technical Recruiter,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13776376/senior-technical-recruiter-atlanta-ga/
Compensation Analyst II,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13851990/compensation-analyst-ii-atlanta-ga/
Solutions Architect,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13920755/solutions-architect-atlanta-ga/
Sourcing Manager - Professional Services,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13721835/sourcing-manager-professional-services-atlanta-ga/
Financial Analyst II,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13907689/financial-analyst-ii-atlanta-ga/
Financial Analyst II,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13907686/financial-analyst-ii-remote/
Lead Release Engineer,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13904834/lead-release-engineer-atlanta-ga/
Business Analyst III – Cox Business Enablement (Marketing),"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13895415/business-analyst-iii-cox-business-enablement-marketing-atlanta-ga/
Recruiting Events Specialist,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13895413/recruiting-events-specialist-atlanta-ga/
Business Analyst III – Cox Business Enablement (Digital),"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13895416/business-analyst-iii-cox-business-enablement-digital-atlanta-ga/
Financial Analyst I,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13894170/financial-analyst-i-atlanta-ga/
Senior Financial Analyst - Planning,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13757447/senior-financial-analyst-planning-atlanta-ga/
Senior Financial Analyst - Client Support,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13757448/senior-financial-analyst-client-support-atlanta-ga/
"Financial Analyst II, Enterprise Analysis","Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13873533/financial-analyst-ii-enterprise-analysis-remote/
Senior Solutions Architect (ServiceNow),"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13871252/senior-solutions-architect-servicenow-remote/
Digital Ad Operations Specialist - Cox Media,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13871246/digital-ad-operations-specialist-cox-media-atlanta-ga/
Digital Ad Campaign Manager - Cox Media,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13871247/digital-ad-campaign-manager-cox-media-atlanta-ga/
Digital Ad Operations Specialist - Cox Media,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13846299/digital-ad-operations-specialist-cox-media-atlanta-ga/
Product Specialist - Cox Media,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13841170/product-specialist-cox-media-atlanta-ga/
Senior Applications Developer,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13833084/senior-applications-developer-atlanta-ga/
(FILLED) Sr User Interface Engineer,"Burlington, VT",Cox Automotive,https://jobs.coxenterprises.com/job/13827479/-filled-sr-user-interface-engineer-burlington-vt/
User Interface Engineer II,"Burlington, VT",Cox Automotive,https://jobs.coxenterprises.com/job/13827480/user-interface-engineer-ii-burlington-vt/
Senior Financial Analyst,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13725097/senior-financial-analyst-atlanta-ga/
"Senior Analyst, Internal Controls Governance","Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13716226/senior-analyst-internal-controls-governance-atlanta-ga/
Financial Reporting Manager,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13801952/financial-reporting-manager-atlanta-ga/
"Senior Analyst, Marketing Analytics","Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13790429/senior-analyst-marketing-analytics-remote/
"Analyst, Complex Proposal Desk - Cox Business","Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13715163/analyst-complex-proposal-desk-cox-business-atlanta-ga/
Senior Analyst - Cox Business Fulfillment,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/12846268/senior-analyst-cox-business-fulfillment-atlanta-ga/
Senior Solution Architect - Data Analytics,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13771378/senior-solution-architect-data-analytics-atlanta-ga/
"Senior Financial Analyst, Client Support","Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13522992/senior-financial-analyst-client-support-atlanta-ga/
Senior Solution Architect - Technology Infrastructure,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13760013/senior-solution-architect-technology-infrastructure-atlanta-ga/
"Corporate Counsel, Mobility","Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13742384/corporate-counsel-mobility-atlanta-ga/
Corporate Counsel,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13742385/corporate-counsel-atlanta-ga/
UX Designer II,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13717469/ux-designer-ii-atlanta-ga/
Business Process Analyst III,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13207507/business-process-analyst-iii-atlanta-ga/
"Senior Analyst, Internal Controls Governance and Technical Accounting","Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13689659/senior-analyst-internal-controls-governance-and-technical-accounting-atlanta-ga/
Traffic Specialist II - Cox Media,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13659525/traffic-specialist-ii-cox-media-atlanta-ga/
Data Scientist,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13646576/data-scientist-atlanta-ga/
Product Integration Lead COX2M,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13603912/product-integration-lead-cox2m-atlanta-ga/
Record Information Management Analyst,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13564755/record-information-management-analyst-atlanta-ga/
Senior Digital Marketing Specialist,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13564740/senior-digital-marketing-specialist-remote/
Senior Software Engineering Lead COX2M,"Atlanta, GA",Cox Communications Inc,https://jobs.coxenterprises.com/job/13552038/senior-software-engineering-lead-cox2m-atlanta-ga/
Senior Solution Architect,"Atlanta, GA",Cox Enterprises,https://jobs.coxenterprises.com/job/13546278/senior-solution-architect-atlanta-ga/
